ffplay,ALL_TASKS,percentage
1757.86,2241.83,78.41183318984936
944.85,3014.32,31.34537806205048
1327.57,3533.27,37.57340933469562
392.66,3426.53,11.459406454926704
38.18,1668.73,2.2879674962396552
3.19,536.39,0.5947165308823803
83.92,492.11,17.05309788461929
597.33,2892.78,20.64899508431336
217.84,4693.35,4.64146079026708
208.36,726.56,28.677604051970935
152.63,573.61,26.608671396942174
161.41,548.99,29.401264139601814
2611.85,3049.86,85.63835717049307
2979.91,3497.89,85.19164410544643
1585.85,3696.34,42.9032502421314
3992.82,5377.0,74.25739259810304
5709.46,6232.14,91.61315374815071
4210.88,4936.25,85.30524183337555
3327.99,3867.74,86.04482204077833
1483.25,2016.95,73.53925481543915
1714.92,2287.23,74.97803019372779
241.87,762.01,31.741053267017495
3374.97,3836.49,87.97025406035203
2402.67,3511.71,68.41880451404016
259.39,968.92,26.771044049044296
668.99,1340.55,49.904143821565775
1796.91,2353.5,76.35054174633525
136.74,729.61,18.741519441893615
2272.26,3446.11,65.9369550014364
2647.33,3162.78,83.70262870006765
1546.09,2085.9,74.12100292439715
3208.08,4278.75,74.97703768624014
227.84,1024.14,22.246958423653016
3343.5,3918.31,85.330155092374
2552.73,3123.12,81.73653269807116
2167.16,2803.49,77.30221973326104
1734.02,3320.26,52.225428129122406
3132.46,4416.02,70.93400845104868
1422.19,2052.28,69.29804899916189
2957.75,3728.07,79.33729785116695
2662.34,3217.47,82.74638147364234
1272.51,2148.7,59.222320472844046
3026.99,3642.11,83.11088901762989
1642.59,2598.83,63.20498070285474
1908.73,2489.99,76.65613114912108
3309.34,3868.16,85.55333802117804
76.38,609.85,12.524391243748461
5.39,800.09,0.6736742116511891
271.48,998.32,27.19368539145765
7273.27,7697.44,94.48946662786591
2333.42,2864.29,81.46591301858402
1374.29,1914.63,71.77835926523663
3235.94,3714.4,87.11878096058582
1786.81,2386.95,74.85745407318963
2555.62,3048.46,83.83314854057457
2635.8,3212.36,82.05182482660723
1951.44,2499.2,78.08258642765685
1855.85,2483.83,74.71727131083851
1968.42,2671.34,73.68661420859944
2838.66,3570.22,79.50938597621435
1311.53,2249.49,58.30343766809366
870.97,1408.33,61.84417004537289
3362.08,3966.31,84.7659411392453
160.99,712.8,22.58557800224467
3976.56,4446.66,89.42802013196422
1141.25,1706.62,66.87194571726572
1516.44,2033.29,74.58060581618953
1211.72,2640.89,45.883016710275704
2692.03,3240.09,83.08503776129676
1682.9,2287.03,73.58451791187697
1993.07,2554.55,78.02039498150359
3294.56,4001.06,82.34217932247955
438.24,812.57,53.93258426966292
3432.26,3923.7,87.47508729005786
2393.39,2934.47,81.56123593016798
1234.89,2074.19,59.5360116479204
634.09,1171.24,54.13834910009905
3308.96,3885.7,85.15737190210258
1789.17,2867.6,62.392593109220265
1673.65,3239.51,51.66367753147853
2850.53,3947.31,72.2144954411992
1294.07,1923.0,67.29433177327093
1145.77,1697.73,67.48835209367803
3239.8,3777.11,85.77457368199497
118.98,644.15,18.47085306217496
1555.11,2015.64,77.15217003036256
2711.67,3321.52,81.63943014041764
809.57,2139.97,37.83090417155381
2336.86,2819.26,82.88912693401814
3061.18,3608.47,84.83318414729789
839.9,1388.47,60.491044098900225
3544.84,4241.42,83.57672666229706
1513.99,1916.92,78.98034346764601
1490.88,2032.85,73.33940034926336
3137.03,3704.76,84.67566050162493
1788.33,2323.39,76.97071950899333
2329.83,3176.9,73.33658598004344
2489.9,3067.35,81.17430355192593
1070.4,1803.79,59.34171937975042
3605.22,4228.69,85.2561904514164
1291.89,1972.4,65.49837761103224
3324.78,3962.84,83.89892097586579
1193.05,1819.27,65.57850126699171
2264.88,2814.55,80.47041267698211
3340.21,3889.31,85.8818145120857
721.59,1243.55,58.02661734550279
1995.53,2603.16,76.65798491064706
2377.94,3716.8,63.97815325010762
2854.09,3457.6,82.54540721888016
2410.41,2905.04,82.97338418748106
2105.21,2660.37,79.13222596856828
2495.97,3031.76,82.32742697311132
2626.3,3259.43,80.57543803671196
2145.61,2583.57,83.0482626752904
2102.32,2634.61,79.79625067846854
2600.02,3188.17,81.5521129676272
1808.54,2654.37,68.13443491299253
2774.53,3320.99,83.54526812787753
2289.58,3107.51,73.67892621423583
2909.57,3465.66,83.95428287829736
266.68,843.62,31.61138901401105
3757.23,4276.87,87.84999310243239
1267.36,2555.01,49.602936974806354
3099.01,4338.36,71.43275339068221
2136.62,3640.72,58.6867432815487
2777.91,3341.8,83.12615955473098
1918.28,3011.95,63.68897226049569
3643.89,4505.98,80.8678689208563
877.09,1552.86,56.48223278338035
3750.98,4182.49,89.68294006680232
1311.94,1834.23,71.52538122263839
2700.45,3352.74,80.54456951627624
2310.85,2732.33,84.57433765321173
2222.9,2780.91,79.93426612152138
3103.79,3730.37,83.20327474218375
2966.67,3755.69,78.99134380100594
1485.05,2030.29,73.1447231676263
1437.58,1969.28,73.0002843678908
3370.89,3959.68,85.13036406982383
1456.57,1997.61,72.9156341828485
1400.81,1940.16,72.20074633019956
2685.33,3313.81,81.03451917883041
2911.72,3456.73,84.23336505888513
2215.18,2855.63,77.57237457233605
256.65,883.41,29.052195469827147
3691.43,4308.28,85.68222121124904
720.17,2152.88,33.451469659247145
2.92,488.62,0.5976014080471532
471.66,859.44,54.8799218095504
6410.01,6906.99,92.80468047586577
2228.35,2761.33,80.6984315529111
2944.16,3494.34,84.25510969167281
3162.99,3677.17,86.01696413274338
1278.76,1830.62,69.85392926986485
3670.27,4294.46,85.46522729283775
2004.98,2811.42,71.3155629539521
2487.72,3022.14,82.31650419901129
2051.37,2612.92,78.50871821563614
2421.52,2998.74,80.75124885785364
919.84,1451.97,63.35117116744836
3236.21,3783.53,85.53414404008954
2289.32,3108.99,73.63548933898149
3072.86,3617.4,84.94664676286835
3316.63,3841.38,86.33954464281067
1454.75,2025.17,71.83347570821215
2325.91,3601.01,64.59048989033631
3782.86,6076.59,62.2530070319044
1521.32,2148.71,70.80155069786058
2925.44,3489.41,83.83766883226677
875.17,1543.19,56.71174644729423
3709.3,4274.81,86.77110795567522
540.69,1067.48,50.65106606212764
3564.72,4123.45,86.44993876486923
1459.69,2051.12,71.16550957525645
1301.61,2079.21,62.601180255962596
1824.45,2377.35,76.74301217742445
2868.02,3442.86,83.30341634571258
2881.2,3409.33,84.50927308298111
1872.33,2430.37,77.03888708303674
2182.47,2693.01,81.04203103590405
2332.53,2868.04,81.32836362114895
2749.03,3274.06,83.96394690384416
1853.55,2382.57,77.79624523099005
3453.13,3970.48,86.97008925872942
1291.6,1836.06,70.34628497979368
2729.35,3402.77,80.20965272410419
1847.91,3268.32,56.5400572771332
2582.24,3225.64,80.05357076425143
2972.34,3574.98,83.14284275716228
1941.31,2520.36,77.02510752432191
2583.45,3135.37,82.3969738818704
3152.43,3723.36,84.66626917622791
1046.61,2067.88,50.61270479911792
3003.22,3415.8,87.92142397095847
3158.54,3748.85,84.25357109513584
1065.59,1561.5,68.24143451809157
3655.5,4198.11,87.07489798980971
3112.53,3641.4,85.47619047619048
1266.59,1791.38,70.70470810213354
2779.35,3312.7,83.8998400096598
2238.94,2763.77,81.01035903855966
2475.82,3030.09,81.70780405862533
495.43,1062.12,46.64538846834633
3871.4,4386.11,88.2650001937936
1009.87,1833.79,55.07010072036602
3408.82,4794.8,71.09410194377243
1590.95,2212.98,71.89174777901292
683.2,1198.76,56.99222529947613
2590.12,3865.08,67.01336065488942
2209.72,3289.99,67.16494579010879
2904.67,3500.41,82.98085081461886
1981.47,2927.85,67.67662277780624
1781.04,2320.69,76.74614015659135
3717.66,4284.49,86.77018735018636
2117.29,2671.26,79.26184646945636
1994.37,2675.21,74.55003532432968
3515.53,3915.97,89.77418110966123
1683.31,2207.64,76.24929789277238
2135.44,2699.18,79.11439770596996
3858.99,4370.33,88.29973937894849
1102.42,1637.75,67.31308197221799
3214.93,3753.39,85.6540354186482
1638.09,2166.25,75.61869590305828
3436.41,4003.64,85.8321427500974
886.92,1420.6,62.43277488385189
2806.4,4286.95,65.46379127351614
3930.52,4444.09,88.44375338933278
1268.53,1796.7,70.60332832414983
1190.11,1734.8,68.60214433940511
