ffplay,ALL_TASKS,percentage
2083.41,6028.13,34.56146433471076
799.74,5671.5,14.10103147315525
1332.53,7101.79,18.76329770381833
0.28,5392.52,0.005192377589698323
0.25,2939.11,0.008505976298947641
951.04,5590.26,17.01244664827754
23.55,4860.22,0.48454596705498926
7.46,3726.58,0.20018354630787477
6.76,4487.0,0.15065745486962334
7.84,4196.16,0.18683748951422252
135.69,2151.04,6.30811142517108
68.39,3725.11,1.83591893930649
8.09,5539.79,0.1460344164670502
6.43,1501.01,0.42837822532827896
7.09,4203.96,0.16865051047107965
7.4,4282.97,0.17277730173220918
4.96,1971.94,0.2515289511851273
7.76,3623.28,0.2141705857675918
9.56,1524.14,0.6272389675489128
7.02,4438.79,0.15815120787421796
6.94,2381.5,0.2914129750157464
6.53,4603.61,0.14184520408983387
6.92,1794.08,0.3857130116828681
6.43,3224.08,0.1994367385424679
6.38,2771.14,0.2302301579855222
6.09,2987.4,0.20385619602329785
7.86,4771.75,0.16471944255252266
6.97,1271.5,0.5481714510420762
6.28,3170.16,0.19809725692078636
6.05,3479.59,0.17387105952138038
6.13,1871.34,0.32757275535178
6.31,3114.25,0.20261700248856065
5.91,3887.96,0.15200773670511014
6.36,2017.07,0.3153088390586346
7.19,5111.12,0.1406736683936202
51.77,1510.8,3.42666137145883
6.97,5319.5,0.13102735219475514
5.87,765.13,0.7671898892998575
6.49,4457.7,0.14559077551203536
6.2,2399.17,0.258422704518646
4.88,1994.57,0.24466426347533554
5.9,1888.51,0.3124156080719721
90.14,3539.51,2.546680190195818
6.5,3122.63,0.20815786692627686
6.46,3082.08,0.2095987125577532
7.12,4798.66,0.14837475461899782
6.93,2491.93,0.2780976993735779
5.7,3609.04,0.15793673663910626
6.32,2654.92,0.2380486041010652
6.98,3264.45,0.2138185605538452
55.32,2870.79,1.9269957050149957
24.63,887.65,2.7747422970765503
6.32,4976.37,0.12700020295918513
5.33,601.27,0.8864569993513729
4.46,451.22,0.9884313638579849
4.45,495.89,0.8973764342898627
7.08,7720.49,0.09170402396739068
6.05,4027.75,0.15020793246849978
6.69,2858.31,0.2340543887821825
107.11,2458.02,4.357572354984907
36.15,2157.93,1.6752165269494377
6.83,3702.22,0.1844839042520434
16.22,2259.67,0.7178039271221018
7.44,4772.6,0.15588987134895024
6.22,936.41,0.6642389551585309
6.38,5244.88,0.12164243986516374
6.71,2251.29,0.2980513394542684
6.89,4111.51,0.1675783349669586
104.3,2542.21,4.102729514870919
124.15,1469.4,8.449026813665443
5.97,2257.86,0.26440966224655205
5.69,4589.86,0.12396892279938825
16.99,1516.41,1.1204093879623582
6.19,4030.93,0.15356257737048276
5.97,1284.02,0.4649460288780548
6.98,5228.62,0.1334960276325302
5.34,956.26,0.5584255328048857
67.07,4156.01,1.6138074739954904
182.62,1407.6,12.973856209150329
4.47,1383.5,0.3230936031803397
6.12,2677.11,0.22860472673890872
24.96,4587.09,0.5441358246731588
6.4,2021.2,0.31664357807243226
6.14,2999.43,0.20470556072320406
5.9,3353.8,0.17591985210805655
64.63,3141.77,2.0571206676491274
1177.46,1705.97,69.01997104286711
3184.52,4762.45,66.86726369830654
2800.15,6211.67,45.07885963034096
300.44,5085.53,5.907742162567127
3026.26,6129.66,49.370764446967705
3124.26,7053.81,44.291808256814406
598.73,3205.68,18.67716054004143
10.03,3741.31,0.26808791573005175
87.8,3805.23,2.3073506726268844
117.78,1119.49,10.52086217831334
6.05,2385.87,0.25357626358519114
7.36,4222.92,0.17428698625595562
5.79,1633.89,0.3543690211703358
95.49,3460.92,2.7590929579418186
6.77,2013.62,0.336210407127462
7.44,5359.65,0.13881503456382416
6.2,1155.38,0.5366199864979487
113.23,2397.45,4.722934784875597
102.79,2802.59,3.667678825657695
5.66,2514.48,0.22509624256307467
7.05,4314.6,0.1633986928104575
7.05,4167.79,0.16915439597484516
88.07,1093.65,8.052850546335662
2.86,4226.25,0.06767228630582667
3.16,1559.05,0.20268753407523812
3.47,4686.8,0.07403772296662968
44.58,1552.49,2.8715160806188766
3276.64,5235.72,62.58241464402221
2009.43,5190.01,38.71726644071977
2.71,703.27,0.3853427559827662
3.45,4648.89,0.07421126333382808
2.65,2462.99,0.10759280386846881
2.82,656.59,0.42949176807444517
3.06,3468.38,0.08822562694975752
101.76,3342.22,3.04468287545404
3.66,4078.2,0.08974547594526998
3.91,4097.16,0.09543195774634138
2.95,2021.47,0.14593340489841553
70.11,5034.56,1.3925745248840016
1837.13,2480.83,74.05303870075741
1973.38,3910.24,50.46697900896109
4.98,4350.53,0.11446881184591304
2.8,1825.49,0.15338347512174813
99.97,2394.47,4.17503664694066
3.6,3393.4,0.10608828903164967
