ffplay,ALL_TASKS,percentage
992.17,7371.27,13.45996008828872
1238.46,9030.18,13.714676783851484
918.51,8616.58,10.65979773877803
893.86,8994.87,9.937442119786056
1403.33,8359.66,16.786926741039707
14.16,3711.93,0.38147271096168306
0.22,7611.83,0.0028902379585461053
0.22,6774.91,0.0032472756095652936
415.07,8684.34,4.779522681055785
568.06,9908.91,5.732820259746027
7.38,5550.26,0.13296674390028573
8.72,6197.37,0.14070484737880748
7.83,5677.59,0.13791062757261444
40.81,7146.41,0.5710559567671041
134.54,6156.34,2.1853893709574193
8.46,5869.9,0.14412511286393295
53.52,4606.75,1.161773484560699
7.85,6040.48,0.12995655974359654
6.86,3097.73,0.2214524829471904
6.68,5479.83,0.121901591837703
8.53,7672.28,0.11117946685991646
8.98,7222.03,0.12434177094251896
8.61,6997.53,0.12304341674848125
7.62,6951.55,0.10961584107141573
7.55,3414.83,0.22109446151052908
7.48,5238.19,0.14279741666491672
7.98,7100.36,0.11238866761685323
8.35,5476.6,0.15246685900010953
6.68,5262.16,0.1269440685954057
8.23,5314.7,0.1548535194836962
8.57,7414.09,0.11559071983210348
10.41,4096.68,0.25410820469258033
7.45,3952.73,0.18847733085740742
7.7,6081.34,0.12661683115892222
7.74,7076.75,0.10937224008195853
8.87,6797.85,0.1304824319453945
7.5,7397.97,0.10137916212150089
7.13,7375.54,0.09667088782651848
6.64,5659.6,0.11732277899498197
7.0,4546.86,0.15395239791856358
8.36,4895.14,0.1707816323945791
48.47,4722.75,1.0263088243078715
23.28,7269.57,0.3202390237661925
8.84,6501.46,0.1359694591676331
7.22,6260.02,0.11533509477605502
7.46,5683.52,0.13125668599741006
7.16,5243.27,0.13655600417296837
7.29,5344.53,0.13640114285072777
8.56,6969.42,0.12282227215464128
7.32,5322.27,0.13753529978749668
129.3,4869.84,2.6551180326253023
8.06,7511.43,0.10730313668635666
8.69,5952.71,0.14598393000834914
5.89,2294.15,0.2567399690517185
7.21,5749.79,0.12539588402359042
7.55,5505.15,0.13714431032760233
8.92,6496.17,0.13731167749612463
7.2,4988.31,0.14433746098378009
7.09,5624.5,0.12605564939105698
61.93,5357.08,1.156040230872042
7.85,6723.72,0.11675084625772636
6.82,2713.09,0.2513738947104593
6.84,5841.79,0.11708739958129272
7.97,6460.35,0.12336792898217587
8.59,5747.92,0.14944536458405824
8.33,8199.93,0.10158623305320899
7.96,6250.18,0.12735633213763442
8.19,5803.55,0.14112052106038545
77.72,1459.27,5.325950646556155
7.31,6310.19,0.11584437235645836
8.03,6358.26,0.12629241333320748
6.35,5387.42,0.117867179466238
8.05,6744.4,0.11935828242690234
7.73,6499.79,0.11892691917738882
7.64,6726.96,0.11357284717019277
7.67,2298.15,0.3337467093096621
168.38,2503.85,6.724843740639415
12.28,2867.72,0.428214748999205
7.84,9348.75,0.08386147880732718
7.61,7276.44,0.10458410981194102
7.8,6942.23,0.11235582802644109
8.18,7161.4,0.11422347585667607
7.53,5357.11,0.14056086210662094
5.16,3958.05,0.130367226285671
8.48,7130.02,0.11893374773142291
1716.2,3351.67,51.20432500813028
1741.06,7335.73,23.733970579615118
2068.59,9281.13,22.288126553555443
1036.43,5792.23,17.89345381657842
9.27,5712.77,0.16226804159803385
8.26,7929.11,0.10417310391708527
6.94,2791.02,0.24865461372544803
6.04,5057.32,0.11943084479526707
8.36,5731.9,0.14585041609239519
2027.1,4710.15,43.03684596031974
2519.48,3087.26,81.6089347835945
2528.66,3903.52,64.77896872566299
8.18,7254.2,0.11276226186209368
7.72,4564.03,0.16914875669090693
8.17,5879.48,0.13895786702225368
1630.7,6467.64,25.21321533047603
7.35,5677.74,0.12945291612507795
8.3,5660.44,0.1466317106090693
6.41,5364.14,0.11949725398665956
1754.87,7468.48,23.49701679592099
3392.33,3974.53,85.3517271224522
3624.8,4255.88,85.17157438649586
51.68,4410.88,1.171648287869994
8.82,7344.98,0.12008201519949681
29.19,5499.54,0.530771664539216
2790.77,6437.33,43.352911843885586
7.98,4310.28,0.1851387844873187
6.22,2996.15,0.20759975301637099
756.81,7075.11,10.696794820151206
742.11,5801.59,12.791493366473675
3.87,3693.66,0.1047741264761781
5.05,6761.08,0.07469220893703374
5.32,7270.11,0.0731763343333182
4308.09,5069.73,84.97671473628773
3266.46,3909.7,83.54758677136354
3073.54,3578.26,85.89482038756266
162.27,7752.45,2.0931447477894087
7.39,4273.74,0.17291646192796006
1909.5,6248.72,30.55825833130625
1989.85,4168.49,47.735510940412475
1132.4,7327.79,15.45349962266932
341.36,7240.39,4.714663160409867
140.92,6547.53,2.1522619980359003
81.06,6919.5,1.1714719271623673
12.57,7131.27,0.17626593860560602
6.92,4330.23,0.15980675391376442
25.52,6440.73,0.396228377839158
3538.6,4077.07,86.79272124344197
507.26,1062.69,47.73358175949712
1222.98,2068.42,59.12628963169956
338.59,5777.19,5.860807762943576
517.98,4678.2,11.072207259202257
1001.47,2185.99,45.81310984954186
322.65,5398.93,5.976184169826242
1220.47,5158.97,23.65724165870319
330.64,7280.65,4.5413527638329
1061.08,6815.36,15.568950136163021
691.87,5056.92,13.681648117826661
801.28,7070.36,11.332944857121845
347.49,7255.83,4.789114408689288
653.41,1491.87,43.79805210909798
989.69,1540.83,64.23096642718535
417.84,893.67,46.755513780254454
1103.45,4060.61,27.17448856206334
346.99,7254.53,4.783080364958171
1036.3,2437.54,42.51417412637331
663.92,5480.2,12.11488631801759
784.21,6894.95,11.373686538698614
346.59,4500.21,7.701640590105795
488.35,6058.47,8.060615964096545
1829.97,9488.8,19.285578787623304
727.35,6887.95,10.559745642752924
867.39,8838.46,9.8138137186795
945.34,4887.47,19.342113608881487
438.03,964.08,45.43502613890963
484.58,1296.41,37.378607076465
914.12,1447.09,63.16953333932237
340.42,6090.33,5.589516495822066
1077.25,5566.94,19.350846245872958
330.39,3323.87,9.939919431265363
808.78,6221.73,12.999278335768347
810.04,5725.98,14.146748678828777
779.54,6613.04,11.787922044929413
443.28,7122.74,6.223447718153407
445.4,7373.93,6.040198374543832
1417.64,6919.01,20.48905840575458
374.59,3299.41,11.353241943256522
1502.22,2039.22,73.66640185953453
678.38,1246.13,54.43894296742715
966.58,2386.54,40.50131152211989
780.97,6874.02,11.361183121375847
894.67,6317.93,14.160808999150037
366.06,2808.52,13.033911099084216
565.21,3856.88,14.65459127584991
1124.09,7876.18,14.27202019252988
364.16,6605.09,5.5133238154211375
1272.56,6866.63,18.53252614455708
370.5,1026.05,36.1093513961308
841.89,5760.59,14.614648846732711
708.64,5179.79,13.680863509910635
1206.48,6444.04,18.72241637233785
718.75,6284.83,11.436267965879745
492.8,1169.07,42.1531644811688
1147.17,1735.62,66.09568914854634
383.32,1631.76,23.491199686228367
1194.8,8116.07,14.721410732041493
367.12,6619.77,5.545812014616821
684.42,5581.17,12.263020119437321
1737.43,6268.34,27.717545634091323
668.71,4605.83,14.518772946461333
376.94,5379.97,7.006358771517313
1299.01,8117.79,16.002015326831565
361.44,2211.81,16.34136747731496
766.69,1287.86,59.53209199757738
660.25,1161.09,56.86467026673213
998.19,2530.98,39.43887347983785
385.18,6536.93,5.892368435947761
1103.77,6577.0,16.782271552379505
461.82,6252.29,7.386413618050345
343.6,5100.85,6.736132213258575
1055.72,1859.04,56.78844995266375
359.83,6565.88,5.480301193442463
679.19,4418.48,15.371575745505245
735.31,7523.85,9.773055018374901
747.65,4063.63,18.398574673383155
375.91,2307.52,16.290649701844405
1120.52,8191.22,13.679525150099742
447.72,5396.99,8.29573521537005
360.16,7495.88,4.804772755166838
1099.07,5158.09,21.30769335160883
352.46,3920.22,8.990821943666427
1302.48,5537.02,23.523122546062684
623.26,1155.94,53.91802342682146
895.94,1429.56,62.672430677970844
384.99,929.97,41.398109616439235
854.61,1330.34,64.2399687297984
338.37,815.03,41.5162632050354
285.85,1520.13,18.80431278903778
854.59,1283.38,66.58900715298664
271.88,712.61,38.15270624885982
924.11,1404.61,65.79121606709336
583.34,1392.73,41.884643829026444
736.18,1152.71,63.86515255354772
448.4,1089.43,41.15913826496424
1091.3,1551.67,70.330675981362
1526.01,2164.46,70.50303539912957
1271.14,2046.32,62.11833926267643
857.34,1413.42,60.65712951564291
923.46,1450.08,63.683382985766315
513.44,1044.41,49.160770195612834
897.48,1347.05,66.62558925058461
417.62,953.74,43.78761507329042
456.35,911.91,50.043315678082266
799.16,1251.08,63.877609745180166
282.13,725.0,38.914482758620686
1027.97,1435.36,71.61757329171776
329.4,1186.66,27.758582913387148
716.99,1555.01,46.10838515507939
639.03,1158.1,55.17917278300665
675.28,1159.34,58.246933600151806
390.58,1134.64,34.423253190439254
799.78,1536.71,52.04495317919451
698.92,1249.36,55.9422424281232
517.44,1000.9,51.69747227495255
1450.05,2057.52,70.47562113612504
418.67,1347.79,31.06344460190386
969.35,1856.72,52.20765651255979
655.87,1261.3,51.999524300325064
569.93,1069.67,53.280918414090316
344.4,820.94,41.951908787487504
763.74,1206.02,63.32730800484237
261.2,737.25,35.42895896914208
344.65,824.16,41.81833624538924
684.63,1096.45,62.44060376670163
249.78,679.07,36.7826586360758
993.37,1457.38,68.16135805349325
258.71,1416.47,18.264417883894467
705.18,1339.09,52.66113554727464
596.45,1152.82,51.73834596901512
572.67,1026.12,55.809262074611155
343.9,839.97,40.941938402561995
391.2,864.6,45.246356696738374
2743.64,3171.01,86.522590594164
1154.42,1700.42,67.89028592935863
739.38,1258.74,58.73969207302541
611.48,1172.0,52.17406143344711
402.62,1053.97,38.200328282588686
837.38,1418.65,59.026539315546465
334.73,879.71,38.0500392174694
340.88,832.9,40.926881978628884
821.17,1271.41,64.58734790508174
252.12,712.09,35.40563692791641
692.67,1216.02,56.96205654512261
448.18,774.77,57.846844870090486
463.27,910.1,50.90319745082957
630.88,1484.12,42.50869201951325
589.85,1377.11,42.83245347140026
365.5,1083.5,33.7332718043378
385.59,833.91,46.23880274849804
782.64,1308.08,59.831202984526946
364.78,813.91,44.818223145065176
1326.36,1750.03,75.7907007308446
285.0,808.66,35.24348922909505
907.54,1362.29,66.61870820456731
627.79,1422.28,44.13969120004499
688.19,1349.1,51.01104439997036
352.52,731.16,48.21379725367908
857.34,1439.37,59.56355905708748
321.32,1378.47,23.309901557523922
352.95,1282.03,27.53055700724632
1049.54,1591.78,65.93499101634647
282.51,806.49,35.02957259234461
876.72,1324.46,66.19452456095314
555.85,1031.05,53.91106153920761
719.28,1176.08,61.15910482280117
423.54,1856.45,22.81451156777721
1010.62,1673.6,60.385994263862344
386.43,916.49,42.16412617704503
462.11,997.01,46.34958525992718
1166.11,1534.49,75.99332677306467
1908.16,2451.89,77.82404594007073
594.33,1163.79,51.068491738200194
976.78,1426.91,68.45421224884541
490.89,1030.8,47.62223515715949
481.49,1083.65,44.43224288284963
1125.32,1584.69,71.01199603707981
383.19,851.06,45.02502761262426
1109.25,1579.41,70.23192204684027
347.67,847.0,41.04722550177095
1286.4,1852.22,69.45179298355487
748.81,1401.89,53.414319240453956
969.47,1668.53,58.103240577034875
447.81,935.27,47.88029125279331
496.76,976.52,50.870437881456596
776.54,1437.93,54.00401966716043
353.62,1773.46,19.93955318980975
922.09,1381.21,66.75958036793826
398.35,884.48,45.03776230101303
745.57,1199.68,62.14740597492665
552.47,1011.08,54.64157138900977
700.43,1148.77,60.97217023425054
349.3,866.37,40.31764719461662
880.43,1329.77,66.20919407115517
466.04,991.39,47.00874529700724
393.81,947.1,41.58061450744378
977.72,1284.34,76.12625940171607
279.37,742.12,37.64485527946963
1080.25,1810.11,59.67869356005989
505.76,1001.8,50.48512677181074
870.81,1335.26,65.21651213995776
625.47,1146.44,54.557586964865145
754.52,1722.65,43.79995936493194
335.83,1286.79,26.098275553897682
491.81,1392.12,35.328132632244355
704.55,1936.5,36.38264910921766
270.94,739.7,36.62836284980397
843.63,1274.58,66.18886221343502
1621.19,2091.43,77.51586235255304
414.85,950.57,43.642235711204854
823.12,1275.3,64.54324472673096
386.9,861.05,44.9335114104872
348.26,804.3,43.29976376973766
914.28,1330.94,68.69430627977219
346.19,786.17,44.035005151557556
894.83,1413.31,63.314488682596185
433.91,811.87,53.445748703610185
1093.03,1547.68,70.6237723560426
442.68,990.6,44.68806783767414
1079.63,1532.18,70.4636530955893
416.26,945.3,44.034697979477414
456.89,934.76,48.877786811587995
769.14,1339.33,57.42722107322318
290.45,1012.25,28.693504569029386
882.28,1478.06,59.69175811536744
369.6,1618.35,22.838075817962743
736.56,1243.39,59.23805081269754
567.58,1062.75,53.406727828746185
844.98,1313.48,64.33139446356245
359.67,881.74,40.79093610361331
903.0,1357.58,66.51541713932144
515.75,973.64,52.971324103364694
359.63,800.84,44.90659807202437
1501.13,1941.54,77.31646012958787
364.7,946.48,38.53224579494548
1464.31,2092.92,69.96492938096057
672.99,1033.53,65.11567153348234
807.57,1298.74,62.18103700509725
500.85,1159.35,43.200931556475616
828.48,1160.15,71.41145541524803
370.04,912.74,40.54166575366479
439.38,1569.53,27.994367740661218
1076.52,1421.83,75.71369291687473
289.83,778.77,37.21637967564236
843.74,2301.57,36.65932385284827
1997.7,2911.85,68.60586912100555
409.91,1350.8,30.34572105419011
440.56,1029.38,42.79857778468592
1308.92,1783.68,73.38311804808038
310.87,790.85,39.308339128785484
1181.58,1615.5,73.1402042711235
331.53,822.42,40.31151966148683
599.06,1066.39,56.17644576562044
645.15,1097.68,58.77395962393411
566.4,1007.58,56.213898648246285
360.54,861.71,41.84006220190087
746.63,1187.84,62.856108566810356
347.92,791.12,43.97815754879159
294.46,734.23,40.10459937621726
802.82,1250.4,64.20505438259757
257.28,945.39,27.214165582458033
839.39,1248.76,67.217880137096
618.44,1100.15,56.21415261555243
731.56,1202.51,60.83608452320563
584.37,1774.17,32.9376553543347
581.65,1036.37,56.12377818732692
358.4,955.26,37.518581328643506
545.26,1105.1,49.34033119174735
767.64,1301.31,58.98978721442239
524.78,1007.62,52.08114170024414
1027.61,1468.27,69.98780878176356
278.81,789.64,35.308495010384476
834.1,1289.47,64.68549093813738
603.25,1084.62,55.61855765152773
609.33,1053.01,57.865547335732806
321.37,823.73,39.01399730494216
861.26,1308.13,65.83902211553897
274.16,830.79,32.99991574284717
396.73,1205.93,32.89826109309828
671.93,986.57,68.10768622601537
271.79,706.94,38.44597844230062
959.88,1412.94,67.93494415898765
2322.5,2799.3,82.96717036401957
448.03,1845.39,24.27833682852947
592.93,1391.83,42.60074865464891
938.23,1423.27,65.92073183584282
347.48,805.98,43.112732325864165
1288.6,1789.82,71.9960666435731
403.68,1438.16,28.06919953273627
817.28,1764.43,46.319774658104876
749.27,1341.62,55.8481537246016
751.71,1279.59,58.74616087965677
390.88,939.92,41.58651800153205
476.57,930.06,51.240780164720555
905.93,1364.87,66.37481957988673
332.57,778.62,42.712748195525414
1084.07,1515.64,71.5255601594046
457.42,1108.77,41.254723702841886
955.97,1467.95,65.12279028577268
749.07,1251.74,59.84229951906946
876.57,1397.8,62.71068822435256
864.9,1447.56,59.748818701815466
1248.54,2442.11,51.125461179062356
392.65,932.05,42.127568263505175
493.22,960.49,51.35087299191038
749.02,1192.7,62.80036891087448
290.04,740.52,39.16707178739265
950.88,1365.38,69.64215090304529
276.03,788.35,35.013636075347236
733.93,1270.75,57.755656108597286
585.49,1171.55,49.975673253382276
468.21,985.31,47.519054916726716
305.43,821.19,37.19358491944617
680.82,1127.76,60.36922749521175
286.06,754.93,37.89225491105136
240.98,864.91,27.861858459261658
2078.85,2492.51,83.40387801854354
380.72,977.49,38.94873604845063
690.17,1220.37,56.554159803993876
2184.0,2650.37,82.40358893286597
838.04,1423.91,58.85484335386365
429.35,997.01,43.063760644326535
1126.02,2369.04,47.53064532468848
284.89,764.13,37.28292306282962
792.32,1363.29,58.11822869675565
558.16,945.67,59.02270348007232
697.8,1093.12,63.83562646370024
443.58,1270.55,34.912439494707016
752.53,1219.81,61.69239471721005
332.66,811.32,41.00231721145787
387.38,975.43,39.71376726161795
808.01,1587.89,50.88576664630421
278.1,1064.71,26.119788487005852
1123.09,1691.53,66.39492057486417
285.94,1016.51,28.129580623899418
576.21,1023.84,56.27930145335209
698.55,1221.1,57.206616984685944
764.66,1225.91,62.37488885807277
355.31,878.49,40.44553722865371
591.76,1040.57,56.86883150580931
605.6,1064.95,56.86651955490868
302.41,1455.15,20.782049960485175
1059.43,1492.44,70.98643831577819
309.2,798.61,38.71727125881218
967.22,1415.75,68.318559067632
629.76,1153.26,54.60694032568545
798.39,1252.49,63.744221510750585
475.99,976.0,48.76946721311475
815.92,1277.28,63.879493924589745
389.26,914.41,42.569525705099466
427.65,875.46,48.84860530463984
919.11,1407.55,65.29856843451387
282.4,1086.15,26.000092068314686
1032.61,1546.49,66.77120446947603
283.19,874.52,32.382335452591136
753.99,1219.87,61.80904522613066
1644.23,2136.09,76.97381664630235
736.72,1286.7,57.25654775783011
369.28,835.76,44.18493347372451
1031.96,1464.66,70.45730749798588
290.64,825.79,35.195388658133425
953.87,2054.45,46.429458005792306
706.84,1225.26,57.68898029805919
826.87,1279.15,64.64214517452996
467.24,1035.42,45.125649494890965
821.12,1280.87,64.10642766244818
1086.27,1595.66,68.07653259466302
459.71,909.83,50.52702153149489
963.18,1988.11,48.44701751915135
336.61,1076.28,31.27531869030364
835.76,1340.41,62.35107168702113
322.01,974.38,33.04768160266015
763.95,1359.64,56.18766732370333
627.9,1845.19,34.02901598209399
921.91,2375.54,38.808439344317506
336.72,912.64,36.895161290322584
720.13,1239.01,58.121403378503814
522.34,992.9,52.607513344747716
323.55,786.6,41.13272311212815
942.3,1368.44,68.85943117710679
258.04,1411.68,18.278930069137484
809.26,1243.34,65.08758666173372
542.17,1019.8,53.16434595018631
1008.42,1466.3,68.77310236650072
303.43,828.51,36.62357726521105
