ffplay,ALL_TASKS,percentage
150.99,1773.26,8.514825801066962
4359.11,5611.78,77.67784909600876
653.44,2608.75,25.048011499760424
1192.55,3111.48,38.32741974880121
1080.0,4273.93,25.26948265413799
303.69,3679.03,8.254621462722511
1153.01,4029.97,28.610882959426498
2308.59,4820.05,47.89556124936463
2526.53,8663.55,29.1627566067028
3513.62,5605.7,62.67941559484097
409.84,7253.86,5.649957401990113
8.91,3328.75,0.2676680435598949
3310.29,6478.24,51.09860085455309
6291.5,8738.57,71.99690567220954
8.72,1850.65,0.47118579958393
3.21,1126.77,0.28488511408716954
12.58,2265.24,0.5553495435362258
0.78,1382.17,0.056433000282165
10.58,2446.3,0.43248988267996563
4.03,2983.13,0.13509300633897953
9.87,1300.74,0.7587988375847594
4.36,1309.93,0.33284221294267635
13.17,1430.98,0.9203482927783757
1297.36,7121.97,18.216308128228565
769.95,8041.74,9.574420461243463
6124.28,11798.83,51.905824560570835
5133.27,11518.04,44.56721803362378
2043.8,7396.27,27.63284736765964
1970.34,7029.54,28.0294300907314
1591.93,6211.13,25.630279836358277
1726.07,3655.94,47.21275513274288
989.6,2568.59,38.52697394290253
1377.79,2623.18,52.52365449568844
1505.97,3069.86,49.05663450450509
839.53,2174.16,38.61399345034404
1688.88,3155.43,53.5229746817391
761.19,2573.89,29.573524898111426
1731.08,2781.47,62.23615570184111
1530.87,3278.92,46.68823881033999
500.55,1787.75,27.998881275346104
2026.01,3365.68,60.19615649734972
1322.27,2831.04,46.70615745450435
1269.23,3034.31,41.829279144187645
2153.11,3781.29,56.941149713457584
1050.6,1971.39,53.2923470241809
1355.3,2631.34,51.50607675176906
1480.51,2735.69,54.11833943173385
1250.97,2531.72,49.411862291248646
827.56,2513.76,32.92120170581121
2081.2,3006.09,69.23279076807414
704.62,1951.3,36.11028545072516
2159.72,3428.77,62.98818526760325
888.72,2513.93,35.35181966084975
1651.59,2608.49,63.315941406714224
2149.7,3584.3,59.97544848366486
424.17,1600.14,26.508305523266714
2377.4,4367.83,54.42977405256158
1255.78,2533.39,49.569154374178474
505.4,1758.89,28.734031121900745
1907.21,3430.86,55.589852107051875
1341.98,2369.73,56.63008022010947
1320.45,2654.86,49.737085948034924
1279.19,2524.4,50.67303121533829
1759.91,3062.07,57.4745188712211
1280.65,2580.64,49.62528675057351
1728.52,3036.16,56.93112352445194
1213.93,3831.89,31.67966721382921
836.64,2600.75,32.16918196674036
1576.21,5260.57,29.9627226707372
934.97,3752.18,24.918047641637664
1618.31,3588.63,45.09548211991763
826.02,2741.15,30.134067818251463
1814.31,2703.8,67.1022264960426
1890.54,3626.19,52.13571269017895
1189.0,2177.17,54.61218003187624
1317.99,2852.76,46.2005216001346
425.17,1600.49,26.564989471974208
1286.59,2585.62,49.75943874196517
1892.78,3539.9,53.46987203028334
766.05,1612.92,47.49460605609701
1383.89,3049.43,45.38192383494621
1386.25,2362.75,58.67104010157655
1075.36,2539.35,42.34784492094433
1843.94,2992.76,61.6133602427191
2022.37,3472.13,58.24580300852789
956.28,2482.6,38.51929428824619
1166.26,2039.21,57.191755630857045
740.42,2442.24,30.317249737945495
1535.54,2375.82,64.63200074079685
2185.01,3698.38,59.08019186779077
493.25,2204.13,22.37844410266182
2175.76,3889.37,55.9411935609109
1299.9,2590.73,50.17504718747225
1320.9,4985.92,26.492603170528206
1800.49,4812.99,37.40897030743883
988.42,2182.03,45.298185634477974
1312.11,3115.82,42.11122593731345
1185.2,2110.04,56.16955128812724
1093.58,2705.09,40.426751050796824
1779.32,3536.21,50.317147454478096
1855.16,3437.59,53.96687795810436
823.19,1908.59,43.13079288899135
1931.45,3236.49,59.677304734449976
821.72,2504.16,32.81419717589931
